Year,Country,Goals
1930,Argentina,18.0
1930,Uruguay,15.0
1930,USA,7.0
1930,Yugoslavia,7.0
1930,Brazil,5.0
1934,Italy,12.0
1934,Germany,11.0
1934,Czechoslovakia,9.0
1934,Austria,7.0
1934,Hungary,5.0
1938,Hungary,15.0
1938,Brazil,14.0
1938,Italy,11.0
1938,Sweden,11.0
1938,Cuba,5.0
1950,Brazil,22.0
1950,Uruguay,15.0
1950,Sweden,11.0
1950,Spain,10.0
1950,Yugoslavia,7.0
1954,Hungary,27.0
1954,Germany,25.0
1954,Austria,17.0
1954,Uruguay,16.0
1954,Switzerland,11.0
1958,France,23.0
1958,Brazil,16.0
1958,Germany,12.0
1958,Sweden,12.0
1958,Czechoslovakia,9.0
1962,Brazil,14.0
1962,Chile,10.0
1962,Yugoslavia,10.0
1962,Soviet Union,9.0
1962,Hungary,8.0
1966,Portugal,17.0
1966,Germany,15.0
1966,England,11.0
1966,Soviet Union,10.0
1966,Hungary,8.0
1970,Brazil,19.0
1970,Germany,17.0
1970,Italy,10.0
1970,Peru,9.0
1970,Mexico,6.0
1974,Poland,16.0
1974,Netherlands,15.0
1974,Germany,13.0
1974,Yugoslavia,12.0
1974,Argentina,9.0
1978,Argentina,15.0
1978,Netherlands,15.0
1978,Brazil,10.0
1978,Germany,10.0
1978,Italy,9.0
1982,France,16.0
1982,Brazil,15.0
1982,Germany,12.0
1982,Hungary,12.0
1982,Italy,12.0
1986,Argentina,14.0
1986,Belgium,12.0
1986,France,12.0
1986,Soviet Union,12.0
1986,Spain,11.0
1990,Germany,15.0
1990,Czechoslovakia,10.0
1990,Italy,10.0
1990,England,8.0
1990,Yugoslavia,8.0
1994,Sweden,15.0
1994,Brazil,11.0
1994,Bulgaria,10.0
1994,Romania,10.0
1994,Spain,10.0
1998,France,15.0
1998,Brazil,14.0
1998,Netherlands,13.0
1998,Croatia,11.0
1998,Argentina,10.0
2002,Brazil,18.0
2002,Germany,14.0
2002,Spain,10.0
2002,Turkey,10.0
2002,Korea Republic,8.0
2006,Germany,14.0
2006,Italy,12.0
2006,Argentina,11.0
2006,Brazil,10.0
2006,France,9.0
2010,Germany,16.0
2010,Netherlands,12.0
2010,Uruguay,11.0
2010,Argentina,10.0
2010,Brazil,9.0
2014,Germany,18.0
2014,Netherlands,15.0
2014,Colombia,12.0
2014,Brazil,11.0
2014,France,10.0
2018,Belgium,16.0
2018,Croatia,14.0
2018,France,14.0
2018,England,12.0
2018,Russia,11.0
2022,France,16.0
2022,Argentina,15.0
2022,England,13.0
2022,Portugal,12.0
2022,Netherlands,10.0
